Route:varchar,Direction:varchar,DirectionDescription:varchar,ListOrder:varchar,Active:varchar,RouteType:varchar,dircode:varchar,route_id:int
Route,Direction,DirectionDescription,ListOrder,Active,RouteType,dircode,route_id
1,Northbound,Parx Casino,1,1,Bus,0, 
1,Southbound,54th-City,2,1,Bus,1, 
2,Southbound,20th-Johnston,4,1,Bus,0, 
2,Northbound,Pulaski-Hunting Park,3,1,Bus,1, 
3,Westbound,33rd-Cecil B. Moore,6,1,Bus,0, 
3,Eastbound,Frankford Transportation Center,5,1,Bus,1, 
4,Southbound,Broad-Pattison,7,1,Bus,0, 
4,Northbound,Fern Rock Transportation Center,6,1,Bus,1, 
5,Southbound,Front-Market,8,1,Bus,0, 
5,Northbound,Frankford Transportation Center,8,1,Bus,1, 
6,Southbound,Olney Transportation Center,10,1,Bus,0, 
6,Northbound,Cheltenham-Ogontz,9,1,Bus,1, 
7,Southbound,Pier 70,12,1,Bus,0, 
7,Northbound,33rd-Dauphin,11,1,Bus,1, 
8,Westbound,Olney Transportation Center,14,1,Bus,0, 
8,Eastbound,Frankford Transportation Center,13,1,Bus,1, 
9,Southbound,4th-Walnut,16,1,Bus,0, 
9,Northbound,Andorra,15,1,Bus,1, 
10,Eastbound,13th-Market,17,1,Trolley,0, 
10,Westbound,63rd-Malvern,18,1,Trolley,1, 
11,Eastbound,13th-Market,19,1,Trolley,0, 
11,Westbound,Darby Transportation Center,20,1,Trolley,1, 
12,Eastbound,Columbus - Dock,21,1,Bus,0, 
12,Westbound,50th-Woodland,22,1,Bus,1, 
13,Eastbound,13th-Market,23,1,Trolley,0, 
13,Westbound,Yeadon and Darby Transportation Center,24,1,Trolley,1, 
14,Northbound,Oxford Valley and Neshaminy Malls,25,1,Bus,0, 
14,Southbound,Frankford Transportation Center,26,1,Bus,1, 
15,Westbound,63rd-Girard,28,1,Trolley,0, 
15,Eastbound,Richmond-Westmoreland,27,1,Trolley,1, 
16,Southbound,City Hall,28,1,Bus,0, 
16,Northbound,Cheltenham-Ogontz,28,1,Bus,1, 
17,Northbound,Front-Market,29,1,Bus,0, 
17,Southbound,20th-Johnston,30,1,Bus,1, 
18,Eastbound,Fox Chase,31,1,Bus,0, 
18,Westbound,Cedarbrook Plaza,32,1,Bus,1, 
19,Northbound,Torresdale Station,33,1,Bus,0, 
19,Southbound,Frankford Transportation Center,34,1,Bus,1, 
20,Northbound,Philadelphia Mills,35,1,Bus,0, 
20,Southbound,Frankford Transportation Center,36,1,Bus,1, 
21,Eastbound,Penn's Landing,37,1,Bus,0, 
21,Westbound,69th Street Transportation Center,38,1,Bus,1, 
22,Northbound,Warminster and Willow Grove,39,1,Bus,0, 
22,Southbound,Olney Transportation Center,40,1,Bus,1, 
23,Southbound,Center City,42,1,Bus,0, 
23,Northbound,Chestnut Hill,41,1,Bus,1, 
24,Northbound,Southampton & Rockledge,43,1,Bus,0, 
24,Southbound,Frankford Transportation Center,44,1,Bus,1, 
25,Northbound,Frankford Transportation Center,45,1,Bus,0, 
25,Southbound,Columbus Commons,46,1,Bus,1, 
26,Eastbound,Frankford Trans. Center,47,1,Bus,0, 
26,Westbound,Chelten Ave Station,48,1,Bus,1, 
27,Southbound,Broad-Carpenter,50,1,Bus,0, 
27,Northbound,Plymouth Meeting Mall/Barren Hill,49,1,Bus,1, 
28,Westbound,Fern Rock Transportation Center,52,1,Bus,0, 
28,Eastbound,Torresdale-Cottman,51,1,Bus,1, 
29,Eastbound,Pier 70,53,1,Bus,0, 
29,Westbound,33rd and Dickinson Street,54,1,Bus,1, 
30,Eastbound,30th Street Station,55,1,Bus,0, 
30,Westbound,69th Street Transportation Center,56,1,Bus,1, 
31,Eastbound,City Hall,57,1,Bus,0, 
31,Westbound,76th-City,58,1,Bus,1, 
32,Southbound,Broad-Carpenter,60,1,Bus,0, 
32,Northbound,Ridge-Lyceum,59,1,Bus,1, 
33,Southbound,Penn's Landing,62,1,Bus,0, 
33,Northbound,23rd-Venango,61,1,Bus,1, 
34,Eastbound,13th-Market,63,1,Trolley,0, 
34,Westbound,61st-Baltimore,64,1,Trolley,1, 
35,Loop,Ridge & Domino,65,1,Bus,0, 
36,Eastbound,13th-Market,66,1,Trolley,0, 
36,Westbound,80th-Eastwick,67,1,Trolley,1, 
37,Westbound,Chester Transportation Center,69,1,Bus,0, 
37,Eastbound,Broad-Snyder,68,1,Bus,1, 
38,Eastbound,5th Market,70,1,Bus,0, 
38,Westbound,Wissahickon Transportation Center,71,1,Bus,1, 
39,Eastbound,Richmond-Cumberland,72,1,Bus,0, 
39,Westbound,33rd-Dauphin,73,1,Bus,1, 
40,Eastbound,2nd-Lombard,74,1,Bus,0, 
40,Westbound,Conshohocken-Monument,75,1,Bus,1, 
42,Eastbound,Penn's Landing,76,1,Bus,0, 
42,Westbound,Wycombe,77,1,Bus,1, 
43,Eastbound,Richmond-Cumberland,78,1,Bus,0, 
43,Westbound,50th-Parkside,79,1,Bus,1, 
44,Eastbound,5th-Market,80,1,Bus,0, 
44,Westbound,Ardmore and Gladwyne,81,1,Bus,1, 
45,Soundbound,Broad-Oregon,301,1,Bus,0, 
45,Northbound,Center City,300,1,Bus,1, 
46,Southbound,58th-Baltimore,83,1,Bus,0, 
46,Northbound,63rd-Malvern,82,1,Bus,1, 
47,Southbound,Whitman Plaza,85,1,Bus,0, 
47,Northbound,5th-Godfrey,84,1,Bus,1, 
48,Southbound,Front-Market,89,1,Bus,0, 
48,Northbound,27th-Allegheny,88,1,Bus,1, 
50,Northbound,Parx Casino,90,1,Bus,0, 
50,Southbound,Frankford Transportation Center,91,1,Bus,1, 
52,Southbound,49th-Woodland,93,1,Bus,0, 
52,Northbound,54th-City,92,1,Bus,1, 
53,Northbound,Wayne-Carpenter,94,1,Bus,0, 
53,Southbound,Broad-Hunting Park,95,1,Bus,1, 
54,Eastbound,Richmond-Cambria,96,1,Bus,0, 
54,Westbound,33rd-Dauphin,97,1,Bus,1, 
55,Northbound,Doylestown and Willow Grove,98,1,Bus,0, 
55,Southbound,Olney Transportation Center,99,1,Bus,1, 
56,Westbound,23rd-Venango or Bakers Centre,101,1,Bus,0, 
56,Eastbound,Torresdale-Cottman,100,1,Bus,1, 
57,Southbound,Whitman Plaza,103,1,Bus,0, 
57,Northbound,Rising Sun-Olney or Fern Rock Trans. Center,102,1,Bus,1, 
58,Northbound,Neshaminy Mall,104,1,Bus,0, 
58,Southbound,Frankford Transportation Center,105,1,Bus,1, 
59,Northbound,Castor-Bustleton,106,1,Bus,0, 
59,Southbound,Arrott Transportation Center,107,1,Bus,1, 
60,Westbound,35th-Allegheny,109,1,Bus,0, 
60,Eastbound,Richmond-Westmoreland,108,1,Bus,1, 
61,Southbound,9th-Market,111,1,Bus,0, 
61,Northbound,Roxborough and Manayunk,110,1,Bus,1, 
62,Southbound,9th-Market,113,1,Bus,0, 
62,Northbound,Andorra,112,1,Bus,1, 
64,Westbound,50th-Parkside,115,1,Bus,0, 
64,Eastbound,Pier 70,114,1,Bus,1, 
65,Northbound,Germantown-Chelten,116,1,Bus,0, 
65,Southbound,69th Street Transportation Center,117,1,Bus,1, 
